Comment,Designator,Footprint,LCSC
"100n","C1,C5,C6","otter:C_0402",""
"1u","C2,C3,C4","otter:C_0402",""
"1N4148WS","D56,D51,D46,D41,D36,D31,D26,D21,D16,D11,D6,D1,D57,D52,D47,D42,D37,D32,D27,D22,D17,D12,D7,D2,D58,D53,D48,D43,D38,D33,D28,D23,D18,D13,D8,D3,D59,D54,D49,D44,D39,D34,D29,D24,D19,D14,D9,D4,D60,D55,D50,D45,D40,D35,D30,D25,D20,D15,D10,D5","Diode_SMD:D_SOD-323",""
"SP0502BAHT","D61","Package_TO_SOT_SMD:SOT-23",""
"9774020360","H2,H1,H3,H4","otter:9774020360",""
"USB","J1","otter:USB-C 16Pin",""
"TC2030-CTX-Tag-Connect","P1","otter:TC2030",""
"5k1","R1,R2","otter:R_0402",""
"PG1353","SW56,SW51,SW46,SW41,SW36,SW31,SW26,SW21,SW16,SW11,SW6,SW1,SW57,SW52,SW47,SW42,SW37,SW32,SW27,SW22,SW17,SW12,SW7,SW2,SW58,SW53,SW48,SW43,SW38,SW33,SW28,SW23,SW18,SW13,SW8,SW3,SW59,SW54,SW49,SW44,SW39,SW34,SW29,SW24,SW19,SW14,SW9,SW4,SW60,SW55,SW50,SW45,SW40,SW35,SW30,SW25,SW20,SW15,SW10,SW5","otter:PG1353",""
"STM32F042K6Ux","U1","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",""
"XC6206PxxxMR","U2","Package_TO_SOT_SMD:SOT-23",""
